EmpID	course1	course2	course3
4322	EE302	MT117	ME102
3426	SS101	EE228	EL224
3751	EL304	EE115	EE223
3084	EE115	EE116	EE302
4425	MT117	EL221	EL115
4913	EE324	EE302	EE211
3903	CS214	EE228	SS113
4311	EE319	EL304	CS214
5152	EE430	EE302	MT306
4349	SS101	EL324	EL302
4307	EL224	EL116	EE302
3320	SS216	EE319	EE228
3355	EE407	EL224	EL421
3493	MT117	EE227	EE302
3841	MT203	EE223	EE228
3061	EE407	SS101	MT117
4734	EE324	EL407	EE302
5047	EE319	NL110	EE228
3822	EL223	SS123	EE302
4107	EE228	SS101	EL221
3206	EL116	EL430	EE324
4419	SS111	EE116	EL221
4853	MT203	EE228	EL421
3468	SS216	EL430	EL116
3296	EE304	EE116	SS111
3932	CS214	EE223	EE430
5079	MT117	EE430	EE304
3377	EE407	EL223	EL224
3676	EL430	EE116	EE407
3330	EL115	EL430	EE223
4988	SS123	EE115	EL115
4193	EE116	EL115	EL302
3153	SS123	NL110	EE115
4653	EL324	EL407	EE227
3097	EL223	MT117	EE224
3665	SS123	SS101	MT203
5060	EL227	SS123	SS123
4755	EE324	SS123	EL304
3787	SS216	EE211	EE421
4528	EE227	EE407	EE228
4123	EL223	EE227	EL116
3804	MT117	ME102	EL324
4591	MT306	CL214	SS216
3367	EL407	EL223	EL224
5196	ME102	EE421	EL407
3745	MT117	EE421	EL227
4699	EL304	EE304	EL221
3668	SS113	EL221	EE407
4603	EE319	EE319	SS111
4206	EE302	EL304	EE211
